track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key
Anti-Hero,Taylor Swift,1,2022,9082,56,999748277,242,142,97,E
I Ain't Worried,OneRepublic,1,2022,8431,76,1085685420,241,127,140,
La Bachata,Manuel Turizo,1,2022,6804,45,1214083358,139,111,125,G
Karma,Taylor Swift,1,2022,3818,23,404562836,37,55,90,G#
People,Libianca,1,2022,3506,56,373199958,105,64,198,A#
golden hour,JVKE,1,2022,4511,36,751134527,70,58,94,C#
Here With Me,d4vd,1,2022,3246,23,635412045,94,85,132,E
Snooze,SZA,1,2022,2839,25,399686758,58,156,143,F
Primera Cita,Carin Leon,1,2022,266,27,77309611,6,40,158,A#
Tak Segampang Itu,Anggi Marito,1,2022,213,6,179659294,7,6,130,F
Nonsense,Sabrina Carpenter,1,2022,2346,27,342897938,69,12,139,G#
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,3430,38,601863821,45,69,95,F
Romantic Homicide,d4vd,1,2022,2335,23,681583126,82,55,132,F#
SNAP,Rosa Linn,1,2022,3202,18,726307468,148,80,170,
Titi Me Preguntï¿,Bad Bunny,1,2022,9037,42,1264310836,124,133,107,F
Ditto,NewJeans,1,2022,1154,22,397582059,28,125,134,F#
CHORRITO PA LAS ANIMAS,Feid,1,2022,2321,36,345031710,29,65,96,G#
Players,Coi Leray,1,2022,4096,6,335074782,118,48,105,F#
Normal,Feid,1,2022,2461,36,459276435,47,66,170,E
Bad Habit,Steve Lacy,1,2022,8186,12,822633917,155,72,169,C#
CUFF IT,Beyoncï¿,1,2022,7842,10,595900742,215,88,115,G
Lavender Haze,Taylor Swift,1,2022,3763,8,488386797,51,43,97,A#
Efecto,Bad Bunny,1,2022,4004,33,1047480053,34,65,98,G
Just Wanna Rock,Lil Uzi Vert,1,2022,3995,13,457184829,72,27,150,B
Glimpse of Us,Joji,1,2022,6330,6,988515741,109,42,170,G#
ceilings,Lizzy McAlpine,1,2022,3242,9,293186992,67,55,148,A
Slut Me Out,NLE Choppa,1,2022,816,4,190490915,21,4,121,F#
PROVENZA,Karol G,1,2022,6587,34,885093467,114,104,111,C#
Komang,Raim Laode,1,2022,158,4,137123880,5,6,134,G
DESPECHï¿,ROSALï¿½,1,2022,7613,33,782369383,180,90,130,G
Made You Look,Meghan Trainor,1,2022,3956,6,502574952,142,23,145,A#
No Se Va,Grupo Frontera,1,2022,924,18,404887295,17,80,173,
Punto G,Quevedo,1,2022,1985,35,381161027,34,26,92,B
Shut Down,BLACKPINK,1,2022,1524,17,482175240,53,120,110,
Late Night Talking,Harry Styles,1,2022,7461,8,743693613,166,42,115,A#
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,993,4,267789608,30,84,130,F#
Something in the Orange,Zach Bryan,1,2022,3282,12,449701773,67,84,110,G
Midnight Rain,Taylor Swift,1,2022,2612,4,433356509,19,29,140,
You Proof,Morgan Wallen,1,2022,2128,9,367814306,37,88,120,A
Malas Decisiones,Kenia OS,1,2022,542,2,156214700,23,2,110,G#
Murder In My Mind,Kordhell,1,2022,2459,20,448843705,20,68,120,A#
Low,SZA,1,2022,1911,0,272377463,23,71,145,
One Thing At A Time,Morgan Wallen,1,2022,811,4,148469433,11,58,142,G
LET GO,Central Cee,1,2022,2301,20,298063749,49,23,146,D
SPIT IN MY FACE!,ThxSoMch,1,2022,629,14,303216294,32,3,94,G#
Kahani Suno 2.0,Kaifi Khalil,1,2022,162,6,156777415,1,10,140,B
Nobody Gets Me,SZA,1,2022,2536,6,284908316,59,100,100,G
Hype Boy,NewJeans,1,2022,892,17,363472647,20,119,100,E
Thought You Should Know,Morgan Wallen,1,2022,968,4,203221468,16,53,140,F#
Zona De Perigo,Leo Santana,1,2022,531,4,134294498,20,1,135,F
Lovezinho,Treyce,1,2022,242,0,70069745,12,2,128,E
Neverita,Bad Bunny,1,2022,2590,30,671365962,20,64,122,A#
Vista Al Mar,Quevedo,1,2022,1769,34,362361576,16,19,105,
About Damn Time,Lizzo,1,2022,2332,2,723894473,0,0,109,A#
Maan Meri Jaan,King,1,2022,288,6,319566866,11,80,96,F#
Moscow Mule,Bad Bunny,1,2022,4572,33,909001996,74,113,100,F
ANTIFRAGILE,LE SSERAFIM,1,2022,761,12,301051721,23,95,105,A#
Boy's a liar,PinkPantheress,1,2022,1225,0,156338624,27,0,133,F
Shirt,SZA,1,2022,3469,0,309653982,71,95,120,D#
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,3311,0,297328960,129,31,177,A
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,2616,0,332506354,113,17,142,D
Calm Down,Rï¿½ï,1,2022,4013,10,445763624,107,44,107,B
TV,Billie Eilish,1,2022,3009,2,338564981,68,89,141,E
Pink Venom,BLACKPINK,1,2022,1963,16,551305895,57,119,90,
How Do I Say Goodbye,Dean Lewis,1,2022,2163,15,284785823,72,97,82,G#
Blind,SZA,1,2022,1484,0,163284000,22,51,114,A
Die For You,Joji,1,2022,1703,0,246390068,38,45,148,G#
Doja,Central Cee,1,2022,4169,44,482257456,57,44,140,F#
Gatita,Bellakath,1,2022,1054,0,168684524,9,0,101,G
Super Freaky Girl,Nicki Minaj,1,2022,4827,0,428685680,104,17,133,D
Limbo,Freddie Dredd,1,2022,688,0,199386237,14,1,75,B
KICK BACK,Kenshi Yonezu,1,2022,574,4,210038833,38,101,102,C#
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,2499,0,227918678,70,0,82,A
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,713,7,181831132,2,4,85,F
"You're On Your Own, Kid",Taylor Swift,1,2022,2537,2,348647203,8,18,120,D
Seek & Destroy,SZA,1,2022,1007,0,98709329,5,31,152,C#
Love Language,SZA,1,2022,1127,0,110849052,16,63,65,A
Special,SZA,1,2022,906,0,88092256,6,21,76,
SOS,SZA,1,2022,827,0,73981293,6,18,119,G
Gone Girl,SZA,1,2022,892,0,65362788,3,17,150,F
F2F,SZA,1,2022,989,0,67540165,5,9,90,D
Notice Me,SZA,1,2022,819,0,62019074,14,22,160,F
Wild Flower (with youjeen),RM,1,2022,353,2,135611421,2,74,155,G#
SPIT IN MY FACE!,ThxSoMch,1,2022,573,0,301869854,1,0,166,C#
Smoking on my Ex Pack,SZA,1,2022,811,0,57144458,6,11,81,G#
Conceited,SZA,1,2022,899,0,56870689,2,14,150,C#
Maroon,Taylor Swift,1,2022,2304,0,317726339,12,16,108,G
Bejeweled,Taylor Swift,1,2022,2699,0,328207708,39,35,164,G
Too Late,SZA,1,2022,714,0,49262961,0,9,128,B
Far,SZA,1,2022,680,0,51641685,2,15,116,D
Sacrifice,The Weeknd,1,2022,4440,0,326792833,81,77,122,G
Is There Someone Else?,The Weeknd,1,2022,2881,6,391251368,13,89,135,A
Out of Time,The Weeknd,1,2022,3711,0,339659802,49,88,93,
How Do I Make You Love Me?,The Weeknd,1,2022,1915,0,119238316,7,47,121,G
Gasoline,The Weeknd,1,2022,2297,0,116903579,11,29,123,F#
Less Than Zero,The Weeknd,1,2022,2800,0,200660871,18,77,143,
Best Friends,The Weeknd,1,2022,1292,0,101114984,3,18,87,E
Dawn FM,The Weeknd,1,2022,811,0,53933526,1,8,78,A
Starry Eyes,The Weeknd,1,2022,1014,0,74601456,1,17,86,A
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1184,0,63803529,1,5,122,A#
